Protein.Group;Protein.Names;Genes;First.Protein.Description;Muestra12;Muestra13;Muestra18;Muestra14;Muestra15;Muestra19;Muestra04;Muestra05;Muestra06;Muestra07;Muestra08;Muestra09;Muestra17;Muestra10;Muestra11;Muestra16;Muestra20;Muestra01;Muestra02;Muestra03;Muestra21;Muestra22;Muestra23;mean_abundance
A0A1S3Q4G5   ;Alpha-L-fucosidase;fuca1;Belongs to the glycosyl hydrolase 29 family;47047;42457,9;39541,5;35966,5;38306;31806,9;27705,7;25749,4;25606,6;30508,5;30813,5;23975,7;30845,3;30202,1;58115,1;53041,6;76371,6;27171,3;27705,8;23825,5;30322,5;25083,4;22384,4;38151,91154
A0A1S3Q4I2   ;Tubulin-specific chaperone C-like;LOC106589439;Belongs to the TBCC family;48952;37757,8;44909,6;38161,4;41845,9;42583,2;29768,3;24925,6;30732,2;32184,8;28597,3;31162,6;12254,8;12240,4;7488,86;16510,7;22143,6;39290,9;35547,1;36290,5;35995,1;36987,7;32864,7;29418,54154
A0A1S3Q4J9   ;Protein phosphatase 1B-like isoform X4;LOC106589410;Belongs to the PP2C family;13393,5;;;;;;;;;;;;;;;;;;;;;;;13393,5
A0A1S3Q4L4   ;Lethal(2) giant larvae protein homolog 2-like;LOC106589453;Belongs to the WD repeat L(2)GL family;75646,5;46025,5;79195,3;55567,8;85707;72323,1;63845,3;53787;50852,1;102749;78554,1;85732,5;1604,02;;;;;78968,8;60997,5;86082,3;86515,8;78135,9;57929,3;68432,56947
A0A1S3Q4M8   ;Glutamate dehydrogenase;LOC100136404;Belongs to the Glu/Leu/Phe/Val dehydrogenases family;92137,5;70031,1;93863,1;91284,8;103716;96379,1;63100,7;60246,4;77557,8;56119,3;44209,1;55271,8;119533;104434;94787,8;108536;121512;68537,6;68610,4;57279,7;59518,5;51142,7;57881,7;80744,46154
A0A1S3Q4P4   ;ATPase asna1;LOC106589465;Belongs to the arsA ATPase family;21540,2;14471,9;16587,9;20972,2;37251,9;34929,6;23147,1;21610,6;11444,7;30913,4;26996,6;27924,4;;;;;;29687,7;20216;22617,3;;;25021,1;24083,2875
A0A1S3Q4R0   ;Tripartite motif-containing protein 65-like;LOC106589467;;22968,5;;;;;19389,2;16089,5;11908,9;;;;;;;;;;;;;;;;17589,025
A0A1S3Q4R3   ;Integrin beta;itgb4;Belongs to the integrin beta chain family;205122;184573;200095;213581;205457;174593;212649;182114;179570;261180;266346;247224;402790;429641;613492;275336;323545;264217;230076;198672;363906;275853;238425;281840,2308
A0A1S3Q4S0   ;RING finger protein unkempt homolog isoform X1;LOC106589472;Belongs to the unkempt family;;;;;;;;;;;;;;;;;;;;;;;20086,3;20086,3
A0A1S3Q4S2   ;Poly [ADP-ribose] polymerase 9-like isoform X1;LOC106589450;;6131,9;20578;18036,3;40677,1;28977,1;31642,6;46469;42757,9;52842,6;40634,6;36762,6;36112,5;;;;;;30006;33539,9;34770;28018,9;36406,1;35696,4;33336,63889
