Protein.Group;Protein.Names;Genes;First.Protein.Description;Muestra12;Muestra13;Muestra18;Muestra14;Muestra15;Muestra19;Muestra04;Muestra05;Muestra06;Muestra07;Muestra08;Muestra09;Muestra17;Muestra10;Muestra11;Muestra16;Muestra20;Muestra01;Muestra02;Muestra03;Muestra21;Muestra22;Muestra23;mean_abundance
A0A1S3N325   ;Transmembrane 9 superfamily member;LOC106576812;Belongs to the nonaspanin (TM9SF) (TC 9.A.2) family;9632,09;;12330,9;11877,2;14608,7;17730,9;17637,2;16343,6;11641,4;22919,1;20988,9;15398,7;;;;;5185,29;12475,9;22436,9;30486,6;12952,9;23076,5;24029,5;16764,01556
A0A1S3N328   ;Ubiquitin-like protein ATG12;LOC106576885;Belongs to the ATG12 family;47088,5;13017,6;53017,7;17363;49533,5;41619,2;28276,3;26107,4;12809,7;75520,7;57028,6;31967,5;14560,7;13856;11768,7;7863,37;15106,4;72723,4;56002,2;64204,5;71418,5;65565,7;67687,6;37600,8388
A0A1S3N336   ;RRP12-like protein isoform X2;rrp12;Belongs to the RRP12 family;473689;535065;544627;511878;538368;556348;648465;558052;509565;561826;615889;644039;;;;;;309573;373848;362050;152516;338966;394591;479408,6111
A0A1S3N338   ;Fibroblast growth factor receptor;fgfr2;Belongs to the protein kinase superfamily. Tyr protein kinase family. Fibroblast growth factor receptor subfamily;20736,6;22984,3;18254,4;22558,9;23060,4;20110,1;22195,4;19133,9;18129,8;24014,1;26185,1;20481,6;22653,3;11883,2;15411,3;;13650,1;19218,1;17431,3;16037,2;23373,4;20038;20279,9;19691,9
A0A1S3N341   ;Suppressor of fused homolog;LOC106576854;Belongs to the SUFU family;;21870,8;15502,5;17411,3;;;;22224,6;22282;;14697,9;;;;;;;;12120,6;14728,7;10131,7;;;16774,45556
A0A1S3N344   ;trypsin;habp2;;295362;181163;290614;179745;148253;156651;137140;204508;146834;183124;161719;148321;136142;154602;170409;115828;154279;277335;258948;309143;326936;264472;216520;195463,1154
A0A1S3N361   ;WD repeat-containing protein 11 isoform X1;wdr11;;40553,2;46010,8;42820,8;40815,4;44587,9;47503,9;50391,6;54370,1;50605,5;53572,5;60162;52430,3;6979,42;5292,54;9914,22;13358,9;;46170,3;48976,2;53310,7;39917,8;50688,2;50283,3;40145,91652
A0A1S3N371   ;Coiled-coil domain-containing protein 106-like;LOC106576897;;25566,8;20643,9;29125,5;16955,8;24360,2;26153,8;13321,7;12838,1;13078,4;20181,4;19700,9;15364,6;;;;9316,1;;21331,1;17430,5;17733,9;27245,4;19323,7;18803,7;19393,44737
A0A1S3N397   ;PDZ domain-containing protein 8-like;LOC106576940;;22162,6;27739,3;26784,9;31604,3;17337,1;;25365,8;24718,1;;26310,3;20139,8;26812;;;;;;16276,4;20132,7;23607,2;;18204,6;18212;23027,14
A0A1S3N3B7   ;Neuroblast differentiation-associated protein AHNAK-like;LOC106576941;;90930,2;69271,8;92405,1;53968,7;56614,7;56391,9;65023,2;55271,1;59383;55820,4;54533,7;55884,4;;37019,6;30624;120784;57600,9;81734,1;84546,3;91992,1;90470,6;73423,8;61894,3;66346
A0A1S3N3C6   ;Latent-transforming growth factor beta-binding protein 1-like isoform X1;LOC106576950;;19841,4;;24812,5;;;;;14854,5;;26172,2;;;;;17843,3;;23550,6;25553,6;;27066,2;29201,5;31782,7;;22781,02308
A0A1S3N3D4   ;C-Jun-amino-terminal kinase-interacting protein 4-like;LOC106576890;Belongs to the JIP scaffold family;20343,8;8390,77;22698,9;4910,13;22384,2;20437,3;14525,2;11804;8120,2;26704,3;21124,6;18407,6;7469,44;6320,35;5249,39;7643,8;10091,4;26631,1;28590,1;32293,3;26835,1;26799,5;27218,4;16807,8608
A0A1S3N3E5   ;Zinc finger protein 318;znf318;;116198;97725,8;113982;128777;86763,2;69284,4;69082;90205,1;71169,6;91293,6;81908,4;83691,3;;;;;;100014;92477,6;73582,6;111327;84561,2;71491,3;88254,59474
A0A1S3N3E8   ;Peroxisomal N(1)-acetyl-spermine/spermidine oxidase;paox;Belongs to the flavin monoamine oxidase family;5754,04;7554,79;3242,93;4755,31;4770,81;2645,65;7216,61;5158,67;5516,46;4594,6;10310,9;6915,27;;;;;;1661,18;2788,15;1725,52;;1289,99;2041,28;4584,832941
A0A1S3N3G1   ;Zinc finger SWIM domain-containing protein 8 isoform X8;LOC100194729;;16296;28636,3;15921,7;27800,8;11460,9;14977,8;19626,4;25425,1;23405,4;18461,2;23574,1;21823,2;;;;;;18305,8;17665,4;17348,8;;14973,3;15408,4;18437,70706
A0A1S3N3G2   ;Inactive tyrosine-protein kinase 7-like;LOC106576880;;42847;34623,4;33014,9;31161;32748,9;32490,5;34159,1;38434,4;33881,4;35775,1;37973,8;36301,5;32045,9;41233,6;41400,8;44070,7;44587,6;39392;36818,9;32028,7;42617,7;39484,4;33515,8;37623,87692
A0A1S3N3G3   ;Nuclear valosin-containing protein-like;LOC106576956;;20248,6;18847,3;15606,6;14273,4;19504,3;13106,3;15447,8;23288,3;14189,9;9480,54;14309,4;15705,4;;;;;;16245,9;15697,1;20420,8;;;18581,2;16559,5525
A0A1S3N3G4   ;Splicing factor U2AF subunit;u2af2;Belongs to the splicing factor SR family;1030680;692171;939309;953793;991187;1052070;927040;847398;928979;1122800;983452;861012;1443580;1524720;1263820;1669940;1521730;1080040;1053170;1050960;1121920;1179730;1119040;1144456,192
A0A1S3N3G6   ;Zinc finger protein 594-like;LOC106576736;;;;;13144,7;;;10175,3;;;;11226,7;;;;;;;;17810,3;;;16204,8;;13712,36
A0A1S3N3G9   ;Methylated-DNA--protein-cysteine methyltransferase;mgmt;Belongs to the MGMT family;16981,5;;20907,6;;9397,13;;10264;;;;8740;;;;;;;23677,4;21353;20676,2;30477,5;28630,7;19063,5;19106,23
A0A1S3N3J1   ;Arginyl-tRNA--protein transferase 1;ate1;Belongs to the R-transferase family;25878,7;16765,2;19687,8;22881,8;22344,4;14820,3;22823,4;20662,9;25270,5;21201,8;22485,7;19184,9;;;;;;17790,3;18117,7;17532,1;30751,4;13665,8;13398,5;20292,4
A0A1S3N3J8   ;tRNA (32-2'-O)-methyltransferase regulator THADA;LOC106576760;Belongs to the THADA family;12691,3;13118,3;15772,3;18148,9;16856,5;21611,5;25448,9;25074,4;25717,7;27811,6;27091,2;26426,7;;;;;;21792,2;18707,9;23052;14496,1;19701;22040,7;20864,4
A0A1S3N3J9   ;calcium/calmodulin-dependent protein kinase;LOC106576966;Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. CaMK subfamily;25286,7;17669,7;26181,2;20700;26237,5;28150;27739,2;33017,7;27149,2;28684,2;30965,4;36062;35202,8;43092,4;21601,4;35354;77402;25440,6;27695,8;26140,2;22960,8;31943,8;26330,5;31335,45
A0A1S3N3K4   ;Eukaryotic translation initiation factor 3 subunit L;LOC106576896;Belongs to the eIF-3 subunit L family;20739,2;25896,2;20472,2;34143,5;22357;23158,8;37776,8;32276,9;34035,9;23161,9;28544,9;36180,3;;;;;;20830,4;28226,9;24740,7;;14440,5;24114,9;26535,11765
A0A1S3N3M2   ;Uncharacterized protein LOC106576974;LOC106576974;;;19341,1;;16902,9;14934,8;15439,6;16506,6;18063,6;19644,3;;;;;;;22052,6;;;14333,9;;;14093,8;13805;16828,92727
A0A1S3N3M3   ;Stromal membrane-associated protein 1-like isoform X2;LOC106576989;;;;;;;;;;11146;;;;;;;;;;;25648,9;;;;18397,45
A0A1S3N3Q8   ;Multiple inositol polyphosphate phosphatase 1-like isoform X4;LOC106577007;;60328;35650,3;61733,3;50343,3;31926,6;24621;20816,7;39387;47379,1;43367,6;30851,3;45837,1;;;;;;44433,9;43573,3;48257,1;50969,3;43249,6;36133,8;40325,60053
A0A1S3N3R2   ;Tumor necrosis factor receptor superfamily member 6-like isoform X2;LOC106577010;;14445,7;9049,38;13163,3;;13794,1;;;;;;;;;;;;;;;;;;;12613,12
A0A1S3N3S2   ;non-specific serine/threonine protein kinase;slk;Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. STE20 subfamily;10655,7;11173,6;11843,8;12678,5;13107,8;11517,2;11051,9;12977,4;15968,5;6727,56;9713,46;12818,3;;;;;;6975,81;10965,4;9488,14;;7151,38;9351,41;10833,28588
A0A1S3N3S7   ;Baculoviral IAP repeat-containing protein 6-like isoform X16;LOC106576946;;17501,5;20252,8;20941,9;25558,2;19674,9;39494,1;39314,9;27761,2;26622,5;28080,9;30897;29897,1;24823;30084,8;25768,9;21043,6;23380,2;24029,7;20088,1;27475,1;18914,4;33929,7;25974,2;25496,78077
A0A1S3N3T3   ;Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2-like;LOC106577008;"In the C-terminal section; belongs to the sulfate adenylyltransferase family";;2997,9;;5603,9;;5325,91;;3912,34;;;;;;;;;;;;7952,31;;3741,08;;4922,24
A0A1S3N3U6   ;Heme-binding protein 2-like;LOC106576976;Belongs to the HEBP family;52692,7;43521,4;47690,4;37191,1;52814,6;52523,3;31727,1;24294,3;34865,2;31925;28077,6;30196,5;39498,2;36631,7;34562,7;80850,2;76228,7;37264,2;27249,7;39078,6;37543,7;31781,7;30665,5;43368,88077
A0A1S3N3V9   ;Gamma-adducin;add3;Belongs to the aldolase class II family. Adducin subfamily;;19717,5;;15141;;8642,78;11622,1;18812;13675,1;;17264,6;16249,8;;;5295,99;;;13271,2;;;;;;13969,207
A0A1S3N3X7   ;YLP motif-containing protein 1 isoform X3;LOC106577038;Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family;37743,8;26170,5;38676,6;30364,2;33520,2;41647,6;54766,1;49923,3;37859,8;73316,6;62798,2;46613,2;;;;;;73620,1;79226,3;77052,6;50347,5;65212;73034,1;52882,92778
A0A1S3N3X9   ;Phosphatidylinositide phosphatase SAC2-like;LOC106576825;;133943;164820;136961;135310;108437;139313;170072;159831;167599;161981;175305;179528;;;;;35790;102448;127915;115673;78026,5;110117;129060;133269,9737
A0A1S3N3Z4   ;Pleckstrin homology domain-containing family A member 1-like isoform X1;LOC106577048;;60934,2;;66744,2;;;;;;;56322,9;85925,1;;;;;;;43728,2;;66519,2;96608;70018,7;;68350,0625
A0A1S3N408   ;Wings apart-like protein homolog isoform X2;LOC106577050;Belongs to the WAPL family;32480,4;33302,4;34641;27695;35236,7;38390,5;35205,7;32515,4;32981,4;29729,5;38898,2;36756;;5510,38;;5134,89;4108,2;29613,7;28338;29767,6;28479,5;36081,2;33994,6;27877,01182
A0A1S3N420   ;BRISC complex subunit Abro1-like isoform X1;LOC106577039;Belongs to the FAM175 family. Abro1 subfamily;15728;12697,6;12401,9;7729,42;15834,8;13441,8;23463,2;17311,3;23445,6;16794,5;19497,5;17692,5;;;;16617,1;;22553,2;16636,4;;15419,4;14563,2;13096,4;16384,65667
A0A1S3N445   ;GTP-binding protein 2;gtpbp2;Belongs to the TRAFAC class translation factor GTPase superfamily. Classic translation factor GTPase family. EF-Tu/EF-1A subfamily;;;27136,5;11175,6;;;;;5408,08;;;;;;;;;;;23844;;;;16891,045
A0A1S3N451   ;Pleckstrin-like;LOC106577000;;16300,3;;20873,3;53941,1;36301,3;29481,7;19217,4;16688,6;;25346,8;19353,3;13191,7;32051,7;32705,7;28827,6;41707,1;33802,1;28837,9;29627,6;37121,4;28319,2;29420,6;30665,2;29494,14583
A0A1S3N465   ;Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN;LOC106577009;Belongs to the PTEN phosphatase protein family;6039,18;9596,78;6047,78;7565,89;3998,44;4933,94;6458,71;6099,52;9588,28;;4551,02;5854,25;;;;;;5699,48;7841,39;8495,26;;6542,86;6469,71;6294,074118
A0A1S3N475   ;Collagen alpha-1(XVII) chain;col17a1;;123563;97537,9;79303,9;104749;69945,8;65581,4;49569,8;66370,6;52778,8;48947;45046,9;45323,3;13006,4;11936,4;20072,4;21308,9;21429,8;88011,5;77920,6;66085,4;111559;68174,4;50017,7;55924,57308
A0A1S3N486   ;Heterogeneous nuclear ribonucleoprotein L-like isoform X2;LOC106577097;;35393,8;48259,2;37092,8;47110,6;36997,6;30530,2;26589,2;28538,4;38564,5;20868,7;20780,6;25080,9;35480,2;34800;36537,7;38017,4;22361,4;36913;33514,5;25569,5;30332,9;30477,8;26977,8;32760,728
A0A1S3N498   ;Protein FAM160B1;fam160b1;Belongs to the FHIP family;118901;116466;105044;119969;99006,8;114908;88429,9;102475;104807;106290;115873;99934,4;34884,6;45324;37085,4;21712,7;30704,8;59356,3;80325,8;65635,1;73309,1;79233,9;104264;77880,36154
A0A1S3N4A6   ;Spectrin beta chain;LOC100380625;Belongs to the spectrin family;60494,1;97943;62973,1;80509;59104,5;46721,3;44340,3;84234,4;59900,4;40367,1;79105,4;76677,6;52981,2;62145,9;84348;46915,6;40794,1;48003;46537,1;34349;28987,1;46103,5;47857,4;56989,65385
A0A1S3N4B4   ;Interferon-induced protein with tetratricopeptide repeats 1-like;LOC106577091;Belongs to the IFIT family;30192,2;27128,4;15822,5;103225;101471;116446;84663,1;64900,6;64576,4;69946,4;63037,1;44335,4;;;;;;42482,7;52122,3;60173,1;41259,6;48162,3;60603,8;60585,99444
A0A1S3N4C0   ;Serine/threonine-protein phosphatase 4 regulatory subunit 3B isoform X2;ppp4r3b;Belongs to the SMEK family;42808,6;30475,1;43360,2;30359,9;39641,5;46740,4;34614,2;31271,3;47526,7;52838,8;35926,7;44320,2;;;;;;40643;47881,7;47004;22940,2;42345,1;62474,3;41287,32778
A0A1S3N4C3   ;Reticulon;rtn4;;30745,4;35406,9;32791;34011,2;30483,3;29307,2;32863,8;41861,2;35850,8;43935,2;40459,4;35908,3;;;;;11391,8;28480,4;40336,7;41632,6;26009,3;36124,8;34391,5;32412,2585
A0A1S3N4E5   ;TBC1 domain family member 12-like isoform X2;LOC106577134;;11855,8;14704,1;10022,9;15189,8;17659,9;9760,26;13040,3;13131;9531,31;;14174,2;12915,5;;;;;;9582,06;7470,02;;14342,1;13503,5;11106,2;12374,30938
A0A1S3N4H2   ;Cyclic GMP-AMP synthase;mb21d1;Belongs to the mab-21 family;;;;12406,7;9036,16;5323,97;6468,54;;7490,28;;7480,89;7383,86;;;;;;;;;;;;7941,485714
A0A1S3N4J0   ;Ankyrin-3-like isoform X29;LOC106577144;;37394,9;48913,4;35290,8;42995,3;38000,5;35816,1;34902,8;57317,8;47064,4;43894,9;38418,9;38534,5;23868,9;19633,9;21245,8;37015,8;28003,4;39457,8;46429,3;38547;38931,6;36579;33342,9;36544,44231
A0A1S3N4K4   ;RNA helicase;LOC106577153;;25247;29048,5;24644,7;27937,5;27194,5;25880,8;29445,2;26685,3;29783,2;29621,9;29091,8;29790,8;;;;;;61783,4;40260;36771,8;;6629,19;31222;30061,03471
A0A1S3N4K6   ;Peptide chain release factor 1-like, mitochondrial;mtrf1l;Belongs to the prokaryotic/mitochondrial release factor family;14362,8;11623,9;12990,2;11484,5;16389,8;16298,1;11741,8;14939,6;17282,5;14292,4;13414;10952,8;;;;;;15018,4;14951,9;14286,6;15114,5;16482,6;16724,3;14352,81667
A0A1S3N4L0   ;Mitogen-activated protein kinase kinase kinase kinase;LOC106577155;Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. STE20 subfamily;29573;41177,1;25698,2;36135,3;29248,9;24281,6;20553,2;22310,2;36429,8;;18397,8;23121,6;19511,4;18095,8;26088,5;13275,4;12291;28698;25173,7;24579,4;;25280,2;;24131,63478
A0A1S3N4L7   ;Tetratricopeptide repeat protein 27;ttc27;Belongs to the TTC27 family;59484,4;30470,2;62459,1;36880,3;65519,2;55003,6;63538,2;45361,1;51990,5;67851,7;80025,6;56958,1;;;;;;54265,8;57860,4;49729,1;48303,9;50883,1;56118,7;55150,16667
A0A1S3N4M6   ;PrdX deacylase domain-containing protein 1;LOC106577117;Belongs to the PRORSD1 family;64351,2;84409,8;78190,2;77039,9;68874,6;70029,7;52825,2;54531,2;66492,2;49275,1;54983,4;50059;;;2423,07;;7950,98;59031,2;49934;48006,5;66595,5;45247,2;44978,5;52672,83571
A0A1S3N4N2   ;Protein FAM98A;fam98a;Belongs to the FAM98 family;54843,5;65765,9;54554,4;53042,5;49380,1;59516,9;43423,8;42770,5;54103,8;36509;38746,2;45897,6;49548,3;50682,4;56251;68752;61421,4;41059,2;39297;39101,6;41991,1;44788,7;45970,1;49295,908
A0A1S3N4N7   ;F-box only protein 28-like;LOC106576958;;22207,5;17394,2;19488,3;18474,1;21696,3;18424,8;15784,6;14421,5;13610,7;16890,2;14449,4;14598,2;22610,8;20300,8;22942,6;;14969,5;14489,7;11344,1;10313;13947,1;10389,6;14764,1;16528,36667
A0A1S3N4N8   ;Coiled-coil domain-containing protein 6-like;LOC106577147;;126737;111772;119233;96747,9;102272;122688;110614;114754;107652;112403;95936,6;100331;137710;154852;134227;132854;117197;137973;134525;123194;164329;151761;121765;124797,3269
A0A1S3N4U0   ;polyribonucleotide nucleotidyltransferase;pnpt1;Belongs to the polyribonucleotide nucleotidyltransferase family;35638,2;55347,8;37076,6;52286;48900,7;42196,8;36249,6;27277,8;40709,4;27870,6;34400,1;34730,5;;;;;;28873,6;29301,7;20459,2;24873;33242,8;28230,9;35425,85
A0A1S3N514   ;Annexin;anx11;Belongs to the annexin family;77389,5;85510,6;71967,6;102320;69942,2;76007,3;79732,3;109720;77484;112504;85828,2;81347,3;98980;98936,8;71832;46276,7;54670,7;127541;124368;205171;126975;147668;156514;94483,95769
A0A1S3N572   ;Lysophospholipid acyltransferase 7;mboat7;Belongs to the membrane-bound acyltransferase family;;;;14201,6;;;10542,5;14054,9;12605,6;;;;;;;;;;;19916,5;;10818,2;16408,1;14078,2
A0A1S3N590   ;Cell division cycle and apoptosis regulator protein 1-like isoform X1;LOC106577249;;202170;102140;212074;100779;185496;316995;136972;144585;127449;227298;120996;90646,4;22553,2;3381,87;23051,7;26232,1;29327,1;274641;353620;374907;294862;413851;417419;163864,8073
A0A1S3N592   ;Ankyrin-3-like;LOC106577222;;78989,8;84013,2;80729,1;80213,8;97977,4;92687,3;72207,8;86610,3;75896,7;81074,8;85582,2;78108,7;33316,8;43016,8;38535,9;20121,9;28794,6;93735;85145,7;85375,2;104740;87938,1;93257,2;68875,06538
A0A1S3N5A9   ;Prolyl 4-hydroxylase subunit alpha-1;LOC106577060;Belongs to the P4HA family;127273;101567;122393;59810,9;59871,1;53210,9;74160,7;70844,2;77610,6;76004,7;103250;89160,8;15921,2;16159,9;21790,6;38408,3;27653,6;77975,8;68589,8;60532,3;49884,8;71722,9;66061,9;62007,25
A0A1S3N5C1   ;CCR4-NOT transcription complex subunit 3-like isoform X2;LOC106577238;Belongs to the CNOT2/3/5 family;26887,9;23646,4;28353,9;24612,2;25528,1;27535,5;20726,8;20939,2;20488,9;23418,4;17103;22199,5;25073;16913,4;31312,4;16773,1;19712,8;20812,5;19724;24020;16987,9;23562,4;24883,7;22407,82692
A0A1S3N5C6   ;Zinc finger protein 883-like;LOC106577248;;102187;91121,1;109997;89475,2;89701,7;102280;95943;110531;108389;86650,8;89933,4;86146;;89982,8;45486,5;11414,2;13019,1;95770,3;108270;100168;105244;88082,1;87220,4;80901,368
A0A1S3N5G2   ;Prostaglandin reductase 1;LOC106577270;Belongs to the NADP-dependent oxidoreductase L4BD family;102660;82526,8;138981;161007;222003;253712;110766;109924;144968;140741;154227;144737;19223;18812,4;12515,4;27438,9;9579,02;115355;111336;91636,8;105232;153792;150684;100383,5992
A0A1S3N5R1   ;Malate dehydrogenase;LOC106577387;Belongs to the LDH/MDH superfamily. MDH type 2 family;270059;96284,8;253852;140047;235259;318036;163037;157205;144090;388530;182995;149228;85450,7;112053;116953;125020;151528;467232;507209;571130;508370;514150;610778;255841,5577
A0A1S3N5S5   ;Eukaryotic translation initiation factor 4E-like isoform X1;LOC106577251;Belongs to the eukaryotic initiation factor 4E family;465513;323882;467487;362159;438831;453672;446335;330974;375102;451449;385543;407912;87364,7;96678,2;87354,8;104565;80543;414424;436212;411035;492013;450184;440532;316624,75
A0A1S3N5S6   ;Transcription factor A, mitochondrial;LOC106577401;;39898,9;32367,4;36615,9;26295,2;38286;41566,9;17101,2;22602,4;21884,8;17594,8;18950,8;17305,3;13976,6;16725,9;14157,5;19242,5;18475,3;34856,3;30291,5;26343,1;48442,2;30425,8;26336,4;25537,18077
A0A1S3N5U0   ;Hormone-sensitive lipase-like isoform X3;LOC106577399;;;11545,4;20625,9;10247,3;12483,5;6934,53;14689,8;18620,8;13780,9;10950,5;10952,8;9481,77;;;;;;;16844,9;;;;10801;12919,93077
A0A1S3N5U5   ;Actin-related protein 2-A-like isoform X2;LOC106577324;Belongs to the actin family;666417;727248;707661;814806;765729;841388;939295;1004170;1123830;758025;864316;954072;59758,8;66254,8;53239,5;87255,8;122494;769458;859464;845038;661755;801020;892809;602466,5308
A0A1S3N5V4   ;Malate dehydrogenase;LOC106577388;Belongs to the LDH/MDH superfamily. MDH type 2 family;627768;408811;733484;746879;1068480;998455;1008610;583160;641669;1042770;834564;778752;128313;119034;140599;133228;240233;1342630;1195090;1143770;1379940;1292740;1245840;703392,9615
A0A1S3N5V9   ;Ornithine aminotransferase;LOC106577392;Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family;181425;140401;188275;137059;220564;181257;215374;132011;135891;167865;199779;204323;138950;139868;175284;65285,4;101578;133702;154652;118122;138442;124425;149109;149099,1346
A0A1S3N5W3   ;Dedicator of cytokinesis protein 1-like;LOC106577345;;13489,4;11411,2;;14361,4;11179,6;;18043,6;21334,7;18643,9;20456,4;20499,6;25186,4;;;2984,08;;;13513,7;16929,6;12839;;14578,9;;15696,76533
A0A1S3N5W4   ;Prostaglandin reductase 1;LOC106577279;;72141,2;56177,8;70054,5;51223,2;82065,4;83368,1;80530,5;51535,9;81617,8;60718,6;73952;82406;;;;;;40975,1;39227,7;28326;40760,5;42393,6;41899,1;59965,16667
A0A1S3N5W6   ;Protein transport protein Sec31A-like isoform X4;LOC106577393;Belongs to the WD repeat SEC31 family;87462,7;80290,6;78486;68604,3;73046,2;71401,6;64590,6;73004,9;55518,6;79216,8;80712,8;71867,1;36390,4;29581,3;24452,6;45859,7;42520,1;81426,4;86401,6;78669,5;107549;80665,7;76114,2;64907,77308
A0A1S3N5Z8   ;DNA-directed RNA polymerase subunit;polr3a;Belongs to the RNA polymerase beta' chain family;15012,1;16911;10903,5;14870,5;7729,79;14988,5;14914,1;16976,7;17373,1;22432,8;14592,7;14831,3;;;;;;17324,4;16831,1;16136,9;;20345,2;7309,16;15263,69706
A0A1S3N611   ;Phospholysine phosphohistidine inorganic pyrophosphate phosphatase;LOC106577390;Belongs to the HAD-like hydrolase superfamily;43825,3;41225,9;40372,5;27148,7;39221;40589,3;34465,7;41657,8;37777,5;40023,3;33881,3;30173,3;41486,9;40114,2;50917,9;45093,3;43936,5;48801,1;54413,6;42592,5;26139,9;35835,3;43792,1;40797,85769
A0A1S3N636   ;Exocyst complex component 6-like;LOC106577415;Belongs to the SEC15 family;6259,51;;;4779,13;5628,42;;6530,21;;7719,49;;;7089,55;;;;;;;;;;;;6334,385
A0A1S3N645   ;Y-box-binding protein 2-A isoform X3;ybx2a;;91807,1;16223,4;78701;20575,7;71015,4;113574;63254,5;59538;34440,7;131601;53238,6;33092,4;11693,7;11657;12720,3;13414,2;23577,4;125460;105294;135117;106909;117988;117356;61541,93077
A0A1S3N668   ;Recombining binding protein suppressor of hairless isoform X2;LOC106577485;Belongs to the Su(H) family;25167,2;27330,3;21476,2;15849,7;22986,2;20955,1;15693,3;12029,4;14351,9;34926,8;23786,3;12406,9;37561;38185,2;32821,6;39317,7;28697,6;27155,6;22000,7;18322,3;25609,2;31792,9;26127,3;25725,62692
A0A1S3N6B2   ;inorganic diphosphatase;ppa1;Belongs to the PPase family;384827;306172;396112;379896;418948;361981;332645;271934;317760;351120;290924;307868;408424;441683;328282;756101;634085;356778;366021;366894;500183;369350;433802;410565,5
A0A1S3N6B7   ;40S ribosomal protein S24;LOC106577218;Belongs to the eukaryotic ribosomal protein eS24 family;1155190;1303910;1221490;931237;966068;1109960;873448;855942;870933;1082190;798695;909930;29722,8;27118,1;30845,6;41097,1;47654,3;1364250;1283950;1399490;1533000;1375010;1470690;800040,4808
